Nr projektu;Lokalizacja projektu;Nazwa osiedla;Kategoria projektu;Suma kosztów;Wszystkie opinie;Nazwa projektu
371;Wyspa S³odowa 7, Dzia³ka: Plac Grunwaldzki, AR_26, 11/1;Stare Miasto;sport;50000;Nie;Budowa boiska do boule/buli/pentaqu na Wyspie S³odowej przy kamienicy tam po³o¿onej
372;Park Grabiszyñski;Grabiszyn-Grabiszynek;inne;150000;Nie;Park Muzyki - 15 rzeŸb i instalacji graj¹cych muzykê na wietrze
373;K¹pielisko Oporowskie, Dzia³ka: Oporów, AR_3, 49;Oporów;zieleñ/rekreacja;2000000;Tak;Rewitalizacja Oporowskiego Otwartego Basenu
374;Obrêb Polanowice, nr arkusza mapy 9 , nr. dz. 29;Polanowice - Poœwiêtne - Ligota;drogowe;45000;Tak;Rondo Polanowickie
375;Wnêtrze podwórkowe przy skrzy¿owaniu ulic Kruczej i Mieleckiej, numer dzia³ki: Grabiszyn, AR_18, 41/41;Gajowice ;place zabaw;117100;Tak;Miejsce do zabawy dla dzieci - ul. Krucza/Mielecka
376;Dzia³ka przy Szkole Podstawowej nr 98. ul. Sycowska 22A. Teren przed g³ównym wejœciem do Szko³y i przed wejœciem do Miejskiej Biblioteki Publicznej . Teren Urzêdu Miasta.;Psie Pole-Zawidawie;edukacja;130000;Tak;Odpoczynek i rekreacja przy stolikach szachowych, gry integracyjne.
377;Obrêb Strachowice, AR 1, dzia³ka nr 18;Jerzmanowo - Jarno³tów -Strachowice - Osiniec;sport;114005;Nie;Renowacja nawierzchni boisk do koszykówki i siatkówki i budowa nawierzchni  polipropylenowej.
378;Alejka spacerowa po³o¿ona poœrodku ul. Wandy (Osiedle Powstañców Œl¹skich);Powstañców Œl¹skich;piesze/rowerowe;114800;Nie;Rewitalizacja alejki spacerowej na ul. Wandy
379;ul. Polanowicka, dz. nr. 10;Polanowice - Poœwiêtne - Ligota;inne;47150;Nie;Rekonstrukcja kraty fortecznej Fortu Piechoty nr 6
380;Paw³owice, ulice Malwowa, Przedwioœnie,  Starodêbowa, Paw³owicka, ;Paw³owice;drogowe;25000;Tak;Progi zwalniaj¹ce na Paw³owicach w okolicach szko³y 
381;Wroc³aw O³taszyn skrzy¿owanie ul. Kurpiów, Grota Roweckiego i Wspólnej.;O³taszyn;drogowe;350000;Tak;Poprawa bezpieczeñstwa ruchu na skrzy¿owaniu ul. Kurpiów, Grota Roweckiego i Wspólnej na O³taszynie poprzez wykonanie  oznakowania pionowego, progów spowalniaj¹cych i fotoradaru.
